wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
3A,RT,LL#1,"Monday, 09/29",,,,,
3A,RT,LL#2,"Wednesday, 10/01",,,,,
3A,RT,LL#3,"Monday, 10/06",,,,,
3A,RT,LL#4,"Wednesday, 10/08",,,,,
3A,RT,LL#5,"Monday, 10/13 SKIPPED FOR HOLIDAY!",,,,,
3A,RT,LL#6,"Wednesday, 10/15",,,,,
3A,RT,LL#7,"Monday, 10/20",,,,,
3A,RT,LL#8,"Wednesday, 10/22",,,,,
3A,RT,LL#9,"Monday, 10/27",,,,,
3A,RT,LL#10,"Wednesday, 10/29",,,,,
3A,RT,LL#11,"Monday, 11/03",,,,,
3A,RT,LL#12,"Wednesday, 11/05",,,,,
3A,RT,LL#1,"Monday, 11/03",,,,,
3A,RT,LL#2,"Wednesday, 11/05",,,,,
3A,RT,LL#3,"Monday, 11/10",,,,,
3A,RT,LL#4,"Wednesday, 11/12",,,,,
3A,RT,LL#5,"Monday, 11/17",,,,,
3A,RT,LL#6,"Wednesday, 11/19",,,,,
3A,RT,LL#7,"Monday, 11/24",,,,,
3A,RT,LL#8,"Wednesday, 11/26 SKIPPED FOR HOLIDAY!",,,,,
3A,RT,LL#9,"Monday, 12/01",,,,,
3A,RT,LL#10,"Wednesday, 12/03",,,,,
3A,RT,LL#11,"Monday, 12/08",,,,,
3A,RT,LL#12,"Wednesday, 12/10",,,,,
